url,num_requests,avg,min,max,max_elapsed,200,302
/,1800,220.51,171.95,3016.524,897,1800,0
/activate,1800,123.9,66.338,1727.121,902,1800,0
/address/lookup,9000,112.69,61.224,1858.733,896,9000,0
/create/add-attorney,3600,114.8,61.166,1834.005,801,0,3600
/create/add-certificate-provider,3600,113.93,61.534,1924.579,896,0,3600
/create/add-donor,5400,115.02,62.266,1757.874,902,0,5400
/create/add-notified-person,3600,114.7,63.881,2054.644,812,0,3600
/create/add-replacement-attorney,1800,115.95,63.018,1793.227,903,0,1800
/create/attorneys,3600,112.33,61.917,1290.688,879,0,3600
/create/certificate-provider,5400,113.49,60.256,2592.353,904,0,5400
/create/complete,1800,112.66,62.886,1154.849,1333,0,1800
/create/donor,1800,113.08,61.805,1168.177,904,0,1800
/create/lpa-type,3600,120.45,62.264,1940.729,896,0,3600
/create/people-to-be-told,3600,115.35,63.837,1430.347,880,0,3600
/create/replacement-attorneys,3600,112.38,61.968,2214.986,832,0,3600
/create/review,3600,115.92,62.797,3131.508,896,0,3600
/create/when-to-use,3600,114.35,62.883,2395.609,902,0,3600
/pdf/draft/Lasting-Power-of-Attorney-Draft.pdf,7200,113.57,61.38,1862.288,1203,7200,0
/postcode/lookup,9000,111.4,62.513,1690.785,902,9000,0
/register/applicant,3600,118.44,63.064,2519.915,897,0,3600
/register/fees,1799,112.59,63.931,1683.699,892,0,1799
/register/further-info,3600,116.13,62.435,2533.224,814,0,3600
/register/notice-dates,3600,112.76,64.551,1721.908,908,0,3600
/user/about-you,3600,223.51,97.912,4236.39,904,3600,0
/user/login,3600,185.73,33.507,2708.141,892,1800,1800
/user/register,3600,190.27,35.008,2339.652,900,3600,0
